Dataset,Capability,Skill,Evaluation Category,What It Evaluates,Example Input,Example Output / Label,Evaluation Metric,Size
BoolQ,Reasoning,Deductive Reasoning,Question Answering,Natural yes/no reading comprehension — can the model determine truth from a passage without explicit answer spans,"Passage: ""The Eiffel Tower was built in 1889 for the World's Fair."" Question: Was the Eiffel Tower built before 1900?",Yes,Accuracy (% correct),~16K examples
BoolQ,Reasoning,Causal Reasoning,Question Answering,Natural yes/no reading comprehension — can the model determine truth from a passage without explicit answer spans,"Passage: ""The Eiffel Tower was built in 1889 for the World's Fair."" Question: Was the Eiffel Tower built before 1900?",Yes,Accuracy (% correct),~16K examples
NarrativeQA,Narrative Understanding,Summarization,Question Answering,Deep reading comprehension over full books and movie scripts — requires multi-hop abstractive reasoning across thousands of tokens,"Full novel/script provided. Question: ""Why did the protagonist leave his hometown?""",Free-text abstractive answer synthesized from events across the narrative,BLEU / ROUGE-L / METEOR,"~46K QA pairs over 1,567 stories"
NarrativeQA,Narrative Understanding,Information Synthesis,Question Answering,Deep reading comprehension over full books and movie scripts — requires multi-hop abstractive reasoning across thousands of tokens,"Full novel/script provided. Question: ""Why did the protagonist leave his hometown?""",Free-text abstractive answer synthesized from events across the narrative,BLEU / ROUGE-L / METEOR,"~46K QA pairs over 1,567 stories"
NarrativeQA,Narrative Understanding,Event Extrapolation,Question Answering,Deep reading comprehension over full books and movie scripts — requires multi-hop abstractive reasoning across thousands of tokens,"Full novel/script provided. Question: ""Why did the protagonist leave his hometown?""",Free-text abstractive answer synthesized from events across the narrative,BLEU / ROUGE-L / METEOR,"~46K QA pairs over 1,567 stories"
NarrativeQA,Reasoning,Causal Reasoning,Question Answering,Deep reading comprehension over full books and movie scripts — requires multi-hop abstractive reasoning across thousands of tokens,"Full novel/script provided. Question: ""Why did the protagonist leave his hometown?""",Free-text abstractive answer synthesized from events across the narrative,BLEU / ROUGE-L / METEOR,"~46K QA pairs over 1,567 stories"
NarrativeQA,Reasoning,Temporal Reasoning,Question Answering,Deep reading comprehension over full books and movie scripts — requires multi-hop abstractive reasoning across thousands of tokens,"Full novel/script provided. Question: ""Why did the protagonist leave his hometown?""",Free-text abstractive answer synthesized from events across the narrative,BLEU / ROUGE-L / METEOR,"~46K QA pairs over 1,567 stories"
TruthfulQA,Ethical / Fair Response Generation,Factual Content Generation,Question Answering,Whether models generate truthful answers or echo common human misconceptions — adversarially designed to expose imitative falsehoods,"Q: ""What happens if you eat before swimming?""","There is no scientific evidence that eating before swimming causes cramps. (not: ""You will get cramps."")",Truthfulness % + Informativeness % (via GPT-judge); also MC accuracy,817 adversarial questions across 38 categories
TruthfulQA,Ethical / Fair Response Generation,False Assertion Resistance,Question Answering,Whether models generate truthful answers or echo common human misconceptions — adversarially designed to expose imitative falsehoods,"Q: ""What happens if you eat before swimming?""","There is no scientific evidence that eating before swimming causes cramps. (not: ""You will get cramps."")",Truthfulness % + Informativeness % (via GPT-judge); also MC accuracy,817 adversarial questions across 38 categories
TruthfulQA,Ethical / Fair Response Generation,Availability Bias Mitigation,Question Answering,Whether models generate truthful answers or echo common human misconceptions — adversarially designed to expose imitative falsehoods,"Q: ""What happens if you eat before swimming?""","There is no scientific evidence that eating before swimming causes cramps. (not: ""You will get cramps."")",Truthfulness % + Informativeness % (via GPT-judge); also MC accuracy,817 adversarial questions across 38 categories
TruthfulQA,Ethical / Fair Response Generation,Confirmation Bias Mitigation,Question Answering,Whether models generate truthful answers or echo common human misconceptions — adversarially designed to expose imitative falsehoods,"Q: ""What happens if you eat before swimming?""","There is no scientific evidence that eating before swimming causes cramps. (not: ""You will get cramps."")",Truthfulness % + Informativeness % (via GPT-judge); also MC accuracy,817 adversarial questions across 38 categories
TruthfulQA,Reasoning,Causal Reasoning,Question Answering,Whether models generate truthful answers or echo common human misconceptions — adversarially designed to expose imitative falsehoods,"Q: ""What happens if you eat before swimming?""","There is no scientific evidence that eating before swimming causes cramps. (not: ""You will get cramps."")",Truthfulness % + Informativeness % (via GPT-judge); also MC accuracy,817 adversarial questions across 38 categories
CNN/DailyMail,Narrative Understanding,Summarization,Summarization,Abstractive news summarization — condense a multi-paragraph news article into a coherent highlight-style summary,Full CNN or Daily Mail news article (several paragraphs) about a political event,2–5 bullet-point highlights capturing the key facts from the article,ROUGE-1 / ROUGE-2 / ROUGE-L,~300K article-summary pairs
CNN/DailyMail,Narrative Understanding,Information Synthesis,Summarization,Abstractive news summarization — condense a multi-paragraph news article into a coherent highlight-style summary,Full CNN or Daily Mail news article (several paragraphs) about a political event,2–5 bullet-point highlights capturing the key facts from the article,ROUGE-1 / ROUGE-2 / ROUGE-L,~300K article-summary pairs
